"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CBX5",1362.36196627553,-0.0144234419376985,0.171139312134875,-0.0842789523796342,0.932834646424016,0.986478856347545
"MGST3",1314.19261336602,0.536051524364507,0.359407253875649,1.49148777211373,0.135833479221024,0.597028886029738
"CLASP1",1367.04073873049,-0.164598035189107,0.183878621828242,-0.895145034004304,0.370709563053987,0.800558189936007
"RNF152",1342.50370226113,0.115759231771907,0.44031413243597,0.262901467939461,0.792626524850953,0.955429562703494
"RAB5A",1332.41334257148,0.647468788288616,0.402377603590362,1.60910742176338,0.107592854685035,0.555276523354542
"RNF149",1301.65984282512,0.158769198521996,0.299727275654463,0.529712213128815,0.596311478842577,0.901488727575106
"CAMK2N1",1362.13088361114,-0.0351969513706929,0.302557802915598,-0.116331329192364,0.907389957060594,0.980446494917866
"CYC1",1360.87208719671,0.358058061143852,0.251149641805817,1.42567617683761,0.15396183622801,0.617601110322832
"LDHD",1400.98840685489,-0.402128817539601,0.493527553509023,-0.814805201210005,0.415183823252969,0.825377554320448
"GFRA1",1366.5057984614,0.60809889009268,0.465319532149826,1.30684153163139,0.191266536735615,0.660971410185192
"AFF1",1353.38591249191,0.0426028327518778,0.339265810130891,0.125573610660742,0.900069453210246,0.979944543637076
"SMU1",1324.09383531453,0.458743656724508,0.193325877093654,2.37290353273441,0.017648872698362,0.309206684611989
"NR2F6",1375.17865881792,-0.0530061838852899,0.294489311517447,-0.179993574680722,0.857157612481327,0.970159135129453
"PRODH2",1386.91500992531,-0.322126854395173,0.603069184925276,-0.534145770414528,0.593240685043068,0.90117678053508
"ATG3",1324.1347973157,0.58617738229868,0.216899360934312,2.70253162468378,0.00688136379082959,0.218154623536085
"MCCC1",1345.5937238085,0.149138885179247,0.437004951516583,0.341275046567951,0.732896531458157,0.941706523240385
"SAP30BP",1316.73405220644,0.436654058202699,0.218778150030599,1.99587599649063,0.0459474220490174,0.428386770736819
"FAM162A",1368.70097021604,-0.371827455731952,0.293970278352328,-1.26484710568703,0.205926141547595,0.677632797354087
"NET1",1350.7946630175,-0.036199701274619,0.297785011005024,-0.121563208142831,0.903244952975575,0.979944543637076
"ABCF1",1352.39042458928,0.399209699680836,0.263549689814288,1.51474167911995,0.129837834998688,0.588671540036425
"BORCS7",1322.33452655902,0.569451937691045,0.277316599061141,2.05343617951083,0.0400302934425888,0.407656883863106
"RIC8A",1357.12190458769,-0.0296358195269963,0.190683078072244,-0.155419242371199,0.876490815265689,0.973808133158852
"GREM2",1405.23065197724,-0.679660195270275,0.736245623440125,-0.923143273972274,0.355932545809072,0.791060003773754
"NUB1",1316.06614776648,0.573735284198828,0.29190075339759,1.96551491395899,0.0493546712401384,0.434854160045724
"FEM1B",1334.46822161509,0.0515858067278667,0.220009409470679,0.234470911275918,0.814619413255647,0.961305094707726
"STARD5",1411.92107097521,-0.658803987211185,0.410020326072329,-1.60675933684071,0.108107171518887,0.556084873580021
