"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"EFCC1",32.0062227123909,0.395460157404712,0.52814962166119,0.748765389930358,0.453998623542418,0.762088708386951
"AC021016.1",30.0316524582675,0.632006895919665,0.496600087727946,1.27266770896323,0.203135980774935,0.557805627821044
"BCL11B",29.7332895483344,-0.327925532357847,0.590759765514412,-0.555091174958913,0.578832298755627,0.832711371546623
"RPL29P11",30.0661313420308,0.58713292945376,0.397013866229337,1.47887260218413,0.139174367090566,0.479701271063451
"AC112907.3",29.4694323608891,-1.10762923574458,0.617331230395978,-1.79422193663216,0.0727777521321174,0.358134116714747
"SGCD",30.24148356821,-1.5438330298284,0.805350585502327,-1.91697014644306,0.0552417244197022,0.318502651468136
"SAP30-DT",31.0536141279332,-0.296272869171124,0.595066768382841,-0.497881725064699,0.618567408803299,0.853563635124035
"RNF32",30.2270516548151,-0.124516733104149,0.440586605385749,-0.282615793539911,0.777471372212568,0.921644106763932
"PRAMEF8",28.564127178527,21.7869957173693,3.88736333005799,5.60456892436763,2.08773901945807e-08,6.961356986481e-05
"AC096720.2",29.7683474196249,-0.912166171945895,0.495631064726972,-1.84041364002956,0.0657075324319099,0.341802178067021
"LINC00672",29.9166970761419,-1.20535886750379,0.62060516838782,-1.94223143618836,0.0521090890479494,0.311607866788885
"SPIN2A",30.2958736959896,-0.452667167402477,0.419183921785912,-1.0798772182719,0.280196859365356,0.62754460496228
"AC012645.4",31.7265661943155,-1.10242296263875,0.872593213059124,-1.26338704695386,0.206450116902838,0.561701868900796
"ALDH1L1-AS2",31.290051818664,-1.04987212009581,0.973665800082853,-1.07826743016594,0.280914427541953,0.628223385107906
"AL023755.1",29.6440907734116,-2.05138333431732,1.09409226729157,-1.87496374450715,0.0607977114607196,0.330707812552404
"TMEM159",30.6503084794565,0.924783109354901,0.458203809089696,2.01827896453359,0.0435622162249736,0.288431004329929
"VIP",29.9679616283466,-0.322401711667483,0.840651022715266,-0.383514327534082,0.70133844904113,0.894527030867368
